A BAR SONG (SHABOOZEY)
BIRDS OF A FEATHER (BILLIE EILISH)
DIE WITH A SMILE (BRUNO MARS & LADY GAGA)
FORTNIGHT (TAYLOR SWIFT & POST MALONE)
GOOD LUCK, BABE! (CHAPELL ROAN)
NOT LIKE US (KENDRICK LAMAR)
PLEASE PLEASE PLEASE (SABRINA CARPENTER)
TEXAS HOLD 'EM (BEYONCE)
