NAMIBIA
NAURU
NAVASSA ISLAND
NEPAL
NICARAGUA
NIGER
NIGERIA
NIUE
NORUEGA
NOVA CALEDONIA
NOVA ZELANDIA
OMA
PACIFIC OCEAN
PAISES BAIXOS
PALAU
PANAMA
PAPUA-NOVA GUINE
PAQUISTAO
PARACEL ISLANDS
PARAGUAI
PERU
PITCAIRN
POLINESIA FRANCESA
POLONIA
PORTO RICO
PORTUGAL
QUENIA
QUIRGUIZISTAO
QUIRIBATI
REINO UNIDO
REPUBLICA CENTRO-AFRICANA
REPUBLICA DOMINICANA
ROMENIA
RUANDA
RUSSIA
SALVADOR
SAMOA
SAMOA AMERICANA
SANTA HELENA
SANTA LUCIA
SAO BARTOLOMEU
SAO CRISTOVAO E NEVES
SAO MARINHO
SAO MARTINHO
SAO PEDRO E MIQUELON
SAO TOME E PRINCIPE
SAO VICENTE E GRANADINAS
SARA OCIDENTAL
SEICHELES
SENEGAL
SERRA LEOA
SERVIA
SINGAPURA
SINT MAARTEN
SIRIA
SOMALIA
SOUTHERN OCEAN
SPRATLY ISLANDS
SRI LANCA
SUAZILANDIA
SUDAO
SUDAO DO SUL
SUECIA
SUICA
SURINAME
SVALBARD E JAN MAYEN
TAILANDIA
TAIWAN
TAJIQUISTAO
TANZANIA
TERRITORIO BRITANICO DO OCEANO INDICO
TERRITORIOS AUSTRAIS FRANCESES
TIMOR LESTE
TOGO
TOKELAU
TONGA
TRINDADE E TOBAGO
TUNISIA
TURQUEMENISTAO
TURQUIA
TUVALU
UCRANIA
UGANDA
UNIAO EUROPEIA
URUGUAI
USBEQUISTAO
VANUATU
VATICANO
VENEZUELA
VIETNAME
WAKE ISLAND
WALLIS E FUTUNA
WEST BANK
ZAMBIA
ZIMBABUE
AFEGANISTAO
AFRICA DO SUL
AKROTIRI
ALBANIA
ALEMANHA
ANDORRA
ANGOLA
ANGUILA
ANTARCTIDA
ANTIGUA E BARBUDA
ARABIA SAUDITA
ARCTIC OCEAN
ARGELIA
ARGENTINA
ARMENIA
ARUBA
ASHMORE AND CARTIER ISLANDS
ATLANTIC OCEAN
AUSTRALIA
AUSTRIA
AZERBAIJAO
BAAMAS
BANGLADECHE
BARBADOS
BAREM
BELGICA
BELIZE
BENIM
BERMUDAS
BIELORRUSSIA
BIRMANIA
BOLIVIA
BOSNIA E HERZEGOVINA
BOTSUANA
BRASIL
BRUNEI
BULGARIA
BURQUINA FASO
BURUNDI
BUTAO
CABO VERDE
CAMAROES
CAMBOJA
CANADA
CATAR
CAZAQUISTAO
CHADE
CHILE
CHINA
CHIPRE
CLIPPERTON ISLAND
COLOMBIA
COMORES
CONGO-BRAZZAVILLE
CONGO-KINSHASA
CORAL SEA ISLANDS
COREIA DO NORTE
COREIA DO SUL
COSTA DO MARFIM
COSTA RICA
CROACIA
CUBA
CURACAO
DHEKELIA
DINAMARCA
DOMINICA
EGIPTO
EMIRATOS ARABES UNIDOS
EQUADOR
ERITREIA
ESLOVAQUIA
ESLOVENIA
ESPANHA
ESTADOS UNIDOS
ESTONIA
ETIOPIA
FAROE
FIJI
FILIPINAS
FINLANDIA
FRANCA
GABAO
GAMBIA
GANA
GAZA STRIP
GEORGIA
GEORGIA DO SUL E SANDWICH DO SUL
GIBRALTAR
GRANADA
GRECIA
GRONELANDIA
GUAME
GUATEMALA
GUERNSEY
GUIANA
GUINE
GUINE EQUATORIAL
GUINE-BISSAU
HAITI
HONDURAS
HONG KONG
HUNGRIA
IEMEN
ILHA BOUVET
ILHA DO NATAL
ILHA NORFOLK
ILHAS CAIMAO
ILHAS COOK
ILHAS DOS COCOS
ILHAS FALKLAND
ILHAS HEARD E MCDONALD
ILHAS MARSHALL
ILHAS SALOMAO
ILHAS TURCAS E CAICOS
ILHAS VIRGENS AMERICANAS
ILHAS VIRGENS BRITANICAS
INDIA
INDIAN OCEAN
INDONESIA
IRAO
IRAQUE
IRLANDA
ISLANDIA
ISRAEL
ITALIA
JAMAICA
JAN MAYEN
JAPAO
JERSEY
JIBUTI
JORDANIA
KOSOVO
KUWAIT
LAOS
LESOTO
LETONIA
LIBANO
LIBERIA
LIBIA
LISTENSTAINE
LITUANIA
LUXEMBURGO
MACAU
MACEDONIA
MADAGASCAR
MALASIA
MALAVI
MALDIVAS
MALI
MALTA
MAN, ISLE OF
MARIANAS DO NORTE
MARROCOS
MAURICIA
MAURITANIA
MEXICO
MICRONESIA
MOCAMBIQUE
MOLDAVIA
MONACO
MONGOLIA
MONSERRATE
MONTENEGRO
MUNDO
