PLEASE PLEASE PLEASE (SABRINA CARPENTER)
NOT LIKE US (KENDRICK LAMAR)
TEXAS HOLD 'EM (BEYONCE)
GOOD LUCK, BABE! (CHAPELL ROAN)
FORTNIGHT (TAYLOR SWIFT & POST MALONE)
BIRDS OF A FEATHER (BILLIE EILISH)
A BAR SONG (SHABOOZEY)
DIE WITH A SMILE (BRUNO MARS & LADY GAGA)
